ITERATIONS,VM1 Mean Wait,VM1 Wait Interval Width,VM1 Mean Throughput,VM1 Throughput Interval Width,S3 Mean Wait,S3 Wait Interval Width,S3 Mean Throughput,S3 Throughput Interval Width,VM2CPU Mean Wait,VM2CPU Wait Interval Width,VM2CPU Mean Throughput,VM2CPU Throughput Interval Width,VM2Band Mean Wait,VM2Band Wait Interval Width,VM2Band Mean Throughput,VM2Band Throughput Interval Width,System Mean Wait,System Wait Interval Width,System Mean Throughput,System Throughput Interval Width
700.0,0.1631155909275645,0.010380364622737927,6.14151785353002,0.09532623461423198,0.11912715899142524,0.0018989958515430838,4.239553111550302,0.08765966920944049,0.2154891096195521,0.01100152056091238,4.4307037072155016,0.0878299673701672,0.4542782759896814,0.03456776852830822,2.201937269099395,0.05785544418256075,0.20401152113100093,0.00753617396301526,6.953051460366093,0.08993204956673023
800.0,0.1593069581952225,0.006987939742919285,6.13435483191711,0.10138292217712846,0.11954481746980232,0.0019133742316514765,4.2379220661824055,0.08690282690025884,0.20854623339366346,0.010817663349555461,4.424577321021851,0.09399937654763224,0.44950712117878,0.027965154474683226,2.195864527751536,0.056892339945045244,0.20007095189684287,0.006487886780767222,6.953200788158104,0.0941271585740375
900.0,0.15812842482107406,0.007148326474034488,6.142549201035141,0.09722415119276366,0.11921121980573766,0.0017957457364790787,4.199421046829261,0.08287696696590048,0.21493219270291333,0.010351558826994053,4.427331402405322,0.07984316321670579,0.46692598909010585,0.03547038351441466,2.1918347327510532,0.04973757810499406,0.2037256167793623,0.006305784234882791,6.949409256879501,0.08173048185481238
1000.0,0.15955232827757085,0.006017016950759493,6.1223370131129125,0.09125999565039751,0.11925890564169844,0.0016054224785028934,4.196988383745011,0.06957901756318312,0.21457641078414136,0.009291185463495506,4.410783978236041,0.0796640316545565,0.46320623613388723,0.03059321476091109,2.1937232747043747,0.0494201686505551,0.20321173769636997,0.00571512793608898,6.951584820343485,0.08542178622639099
1100.0,0.15880406342831047,0.005638088045467046,6.096814131591195,0.08005533813850173,0.11915989810954884,0.0014575810298876207,4.187097696556751,0.07061346475798701,0.21422945553966916,0.00923794072047317,4.3970745247892475,0.07494948566906467,0.4417988383935923,0.026296353554251743,2.1838278576133123,0.048078219707667624,0.20036228006736576,0.005282947488069608,6.935206089594222,0.0749427269367851
1200.0,0.1595956481431699,0.0062799759666270815,6.095679768725734,0.08832868774599273,0.11960596567025084,0.0012107612006850151,4.165178437080063,0.07567985703511892,0.21922205166851202,0.009438997002782125,4.391692938538601,0.0697648421947047,0.4522783723709029,0.02704967718406471,2.180915281779878,0.04406133963560081,0.203280728529763,0.005371178114144018,6.928689098791289,0.07517998848782752
1300.0,0.15777130350708649,0.005519761525733392,6.1021816483595686,0.07953414712723207,0.11926769572148051,0.0012526058099407164,4.178145798455686,0.06842622369770533,0.22385548383058346,0.00889870744447918,4.404732522677871,0.06967590506370178,0.46942027470194075,0.027429254731614658,2.1839883444483434,0.04387351204399765,0.20591930480183404,0.0053703559529478875,6.941245078547797,0.0776562316112869
1400.0,0.15781971293401123,0.004896165205740611,6.106396905373619,0.07242127969001166,0.11952404853292375,0.0012398450704365087,4.170766055920037,0.06173945371094988,0.21779537647170163,0.00852783640969479,4.391068382431668,0.06316299732428371,0.4421019786523017,0.021641020120202383,2.1903260154419244,0.04022485506837678,0.20110473045163543,0.004546530789794541,6.942053615138738,0.06557095920183233
1500.0,0.15944984186349362,0.00582910974005891,6.127629334748756,0.0732907059520535,0.12025274146628023,0.0012871373492942778,4.1739673070259755,0.057293843780518106,0.22117019631865364,0.008375166317013178,4.416200383636324,0.061152003553210287,0.4439888495715099,0.02141729470125478,2.1970166376876525,0.038247986305118435,0.20296892902446098,0.004288584726693084,6.963628387785986,0.06187128532603249
1600.0,0.16021958487016483,0.004897408439967485,6.134015578292815,0.0719410100376355,0.12018835479948338,0.0013025526077019055,4.167441993933767,0.06009132595874338,0.2218533015710763,0.008146061409584637,4.411650025039995,0.06376145341962919,0.4520583262008947,0.02154430066935426,2.1972373295249508,0.03914559699627317,0.204442342409188,0.004228908688195237,6.959131763048028,0.06507923714747978
1700.0,0.15946960282904687,0.005262035160207652,6.140108911170208,0.07388085131103649,0.12012703549775165,0.0012499699950813258,4.160927193639219,0.06016024018438483,0.22409791780905727,0.00838117052196268,4.411311438657579,0.0639364909353941,0.4531642538966893,0.020501909763226068,2.2037538808900243,0.037518322815895004,0.2049770635815584,0.004591256629793373,6.966091258872378,0.06436011984946495
1800.0,0.1580407534889174,0.004759183008791162,6.137918354153598,0.0669602656466246,0.12019574246616252,0.0012370198111111748,4.162931015962675,0.05515284333965867,0.22188704806527748,0.00764433892051721,4.406998324488669,0.05792872209571458,0.4532997831124812,0.021860072922517355,2.1932089815467655,0.0352761367048763,0.20386136768620017,0.004204534331800346,6.961005604992402,0.059797651490827546
1900.0,0.15895270378289086,0.00428792561147939,6.137704266291694,0.06020223223495729,0.11996338133750847,0.0011978914646683873,4.171923431347541,0.05067623140531399,0.2248533419981808,0.007648074362771695,4.415573881399094,0.05574009576134899,0.44928248827203066,0.01842719915263905,2.1948101600859515,0.03414447733600173,0.20437887759023055,0.003946924875786928,6.964624925697154,0.05909942067555601
2000.0,0.1581862981076618,0.004169363060881706,6.147404396592034,0.06494429865707975,0.11983591314389958,0.0010852956313266123,4.182389294113544,0.052970675713348916,0.221386307391782,0.006840507175869801,4.418301418009591,0.04963995921180155,0.4508505735836394,0.016892205249022393,2.204381275866366,0.03278026175857714,0.20333398074639303,0.0035204125815427043,6.976223020244522,0.05592325900194917
2100.0,0.16107236086863613,0.0042578108212183025,6.157765494049256,0.058100818117903553,0.11977239826512107,0.0010888546988146578,4.191837887837777,0.050851695465537576,0.21866294899887498,0.00580266251224196,4.430793252999571,0.054166019510769686,0.4589003542212846,0.018386652136283516,2.2040509064541993,0.03384833565721421,0.20470981010206293,0.0037496112305171743,6.984311586894468,0.057067072082448204
2200.0,0.1608267636814794,0.004768724589089594,6.149848103217799,0.057479148123897206,0.11993944181607641,0.0010488326420823638,4.192545942679478,0.0504281142995764,0.22400657590356643,0.006910418373313741,4.436378905535126,0.051969086068172556,0.4509288899981979,0.018099281768448338,2.203844502519964,0.02973506568484069,0.2050008578761726,0.003909060606042041,6.9888497059952295,0.05336586766192652
